num_feat1,num_feat2,num_feat3,cat_feat1,cat_feat2,cat_feat3,num_feat4,num_feat5,Result
3,5.333333333333333,2,0,x13,y1,5,3,1
3,5.333333333333333,2,0,x13,y7,5,1,0
3,5.0,2,0,x6,y3,5,2,1
3,5.0,2,0,x4,y4,5,3,1
3,5.0,2,0,x13,y9,5,2,1
3,4.666666666666667,2,0,x4,y2,4,0,0
3,5.0,1,0,x6,y3,5,2,1
3,4.666666666666667,1,0,x8,y1,2,3,1
3,4.666666666666667,1,0,x2,y4,5,0,0
3,4.666666666666667,1,0,x12,y3,5,2,1
3,5.0,1,0,x1,y4,5,3,1
3,5.0,1,0,x2,y1,1,0,0
3,5.333333333333333,1,0,x11,y3,5,2,1
3,5.333333333333333,1,0,x13,y6,4,1,0
3,5.333333333333333,1,0,x4,y4,0,0,0
3,5.0,0,0,x8,y4,5,3,1
2,4.5,1,1,x3,y4,3,0,0
3,6.0,0,0,x2,y2,0,0,0
3,6.0,0,0,x11,y1,4,0,0
3,6.333333333333332,5,0,x2,y8,3,1,0
2,3.5,1,0,x12,y3,5,2,1
2,3.5,1,0,x2,y2,4,0,0
2,3.5,1,0,x11,y3,3,0,0
2,4.0,2,0,x11,y5,2,0,0
2,4.0,0,0,x5,y3,5,1,1
2,4.0,1,0,x12,y5,5,2,1
2,3.5,1,1,x6,y2,4,0,0
2,3.5,1,0,x9,y5,4,0,0
2,4.0,1,0,x2,y2,2,0,0
2,4.0,1,0,x12,y2,5,2,1
2,3.5,1,0,x1,y2,5,0,0
2,4.0,1,0,x12,y5,2,0,0
2,4.0,1,0,x6,y8,3,0,0
3,5.0,2,0,x9,y3,3,0,0
2,3.5,1,0,x13,y2,1,1,1
3,5.0,4,0,x11,y10,4,1,0
3,5.0,4,0,x4,y4,3,0,0
3,5.333333333333333,4,0,x12,y4,4,0,0
3,5.333333333333333,3,1,x2,y4,4,0,0
3,5.333333333333333,3,0,x12,y9,3,0,0
3,5.333333333333333,3,0,x4,y4,5,2,1
3,5.333333333333333,2,0,x6,y1,4,0,0
1,4.0,0,0,x2,y3,5,0,0
3,5.0,2,0,x6,y2,5,2,1
3,5.0,3,0,x12,y5,5,3,1
3,5.0,3,0,x11,y1,4,0,0
3,5.0,3,0,x9,y4,3,0,0
2,8.5,9,0,x13,y2,5,1,1
3,5.0,3,0,x13,y1,5,2,1
3,5.0,3,0,x1,y8,3,0,0
3,4.666666666666667,3,0,x12,y2,3,0,0
2,5.5,3,0,x1,y6,3,0,0
2,5.5,2,0,x9,y1,5,1,1
2,6.0,2,0,x2,y6,3,0,0
3,4.666666666666667,3,0,x13,y4,5,3,1
3,4.666666666666667,2,0,x1,y7,5,3,1
2,5.0,1,0,x2,y3,5,0,0
1,3.0,0,1,x13,y10,1,0,0
1,4.0,0,0,x6,y2,5,1,1
1,4.0,0,0,x6,y7,3,0,0
3,5.333333333333333,3,0,x6,y2,1,0,0
3,5.333333333333333,3,0,x6,y2,3,1,0
3,5.666666666666668,3,0,x7,y3,4,0,0
3,5.666666666666668,3,0,x6,y3,5,2,1
3,5.333333333333333,3,0,x4,y1,3,0,0
2,5.0,1,0,x8,y3,4,1,1
2,5.0,1,0,x13,y4,2,1,1
2,5.0,2,1,x9,y3,3,1,1
2,5.5,2,0,x12,y2,5,2,1
